Date,Underlying,Type,Strike,Maturity,Mid,UnderlyingPrice,Rate,Dividend,tau,iv
2024-01-02,UNDER,P,320,2024-02-01,0.003493899167953601,400.0,0.02,0.0,0.0821917808219178,0.2397356017112732
2024-01-02,UNDER,P,330,2024-02-01,0.012341675704536342,400.0,0.02,0.0,0.0821917808219178,0.23202276221990586
2024-01-02,UNDER,P,340,2024-02-01,0.04082454129748398,400.0,0.02,0.0,0.0821917808219178,0.2246556295990944
2024-01-02,UNDER,P,350,2024-02-01,0.12442867192795772,400.0,0.02,0.0,0.0821917808219178,0.21742230937904122
2024-01-02,UNDER,P,360,2024-02-01,0.33948520152610434,400.0,0.02,0.0,0.0821917808219178,0.2094001218431592
2024-01-02,UNDER,P,370,2024-02-01,0.873648451851935,400.0,0.02,0.0,0.0821917808219178,0.20263589008367064
2024-01-02,UNDER,P,380,2024-02-01,1.982449433076698,400.0,0.02,0.0,0.0821917808219178,0.19420906159649792
2024-01-02,UNDER,P,390,2024-02-01,4.223865855761021,400.0,0.02,0.0,0.0821917808219178,0.1884760644911826
2024-01-02,UNDER,C,400,2024-02-01,8.515289513334887,400.0,0.02,0.0,0.0821917808219178,0.17902403631891312
2024-01-02,UNDER,C,410,2024-02-01,4.761004247174119,400.0,0.02,0.0,0.0821917808219178,0.18659784800414742
2024-01-02,UNDER,C,420,2024-02-01,2.468694554127672,400.0,0.02,0.0,0.0821917808219178,0.19258584117939326
2024-01-02,UNDER,C,430,2024-02-01,1.2163225074417967,400.0,0.02,0.0,0.0821917808219178,0.1986598885433227
2024-01-02,UNDER,C,440,2024-02-01,0.5862246750151041,400.0,0.02,0.0,0.0821917808219178,0.20539349842268234
2024-01-02,UNDER,C,450,2024-02-01,0.2710817093553711,400.0,0.02,0.0,0.0821917808219178,0.2112654488283396
2024-01-02,UNDER,C,460,2024-02-01,0.12326062023728644,400.0,0.02,0.0,0.0821917808219178,0.21706527762824301
2024-01-02,UNDER,C,470,2024-02-01,0.057358598017989634,400.0,0.02,0.0,0.0821917808219178,0.223594667134285
2024-01-02,UNDER,C,480,2024-02-01,0.027229884597652052,400.0,0.02,0.0,0.0821917808219178,0.2303526404073239
2024-01-02,UNDER,P,320,2024-03-02,0.08391991134422949,400.0,0.02,0.0,0.1643835616438356,0.23025846508741382
2024-01-02,UNDER,P,330,2024-03-02,0.18308259873513905,400.0,0.02,0.0,0.1643835616438356,0.2240169659580588
2024-01-02,UNDER,P,340,2024-03-02,0.37417492530572105,400.0,0.02,0.0,0.1643835616438356,0.2171753971874416
2024-01-02,UNDER,P,350,2024-03-02,0.7470077457013301,400.0,0.02,0.0,0.1643835616438356,0.21121269872826343
2024-01-02,UNDER,P,360,2024-03-02,1.4054306814491813,400.0,0.02,0.0,0.1643835616438356,0.20478702128338816
2024-01-02,UNDER,P,370,2024-03-02,2.5704583746741254,400.0,0.02,0.0,0.1643835616438356,0.19964835687342286
2024-01-02,UNDER,P,380,2024-03-02,4.325529834957117,400.0,0.02,0.0,0.1643835616438356,0.19213414982104304
2024-01-02,UNDER,P,390,2024-03-02,7.112682790295611,400.0,0.02,0.0,0.1643835616438356,0.18681521864958855
2024-01-02,UNDER,C,400,2024-03-02,12.341226295012278,400.0,0.02,0.0,0.1643835616438356,0.18075692926046993
2024-01-02,UNDER,C,410,2024-03-02,8.339984438384413,400.0,0.02,0.0,0.1643835616438356,0.18630884004059434
2024-01-02,UNDER,C,420,2024-03-02,5.580746877938585,400.0,0.02,0.0,0.1643835616438356,0.19331748804768184
2024-01-02,UNDER,C,430,2024-03-02,3.5909586009626944,400.0,0.02,0.0,0.1643835616438356,0.19804670588283244
2024-01-02,UNDER,C,440,2024-03-02,2.3649568769555294,400.0,0.02,0.0,0.1643835616438356,0.2053039424618185
2024-01-02,UNDER,C,450,2024-03-02,1.5455243673192476,400.0,0.02,0.0,0.1643835616438356,0.21195701158103347
2024-01-02,UNDER,C,460,2024-03-02,0.9858635376026822,400.0,0.02,0.0,0.1643835616438356,0.21723746051140133
2024-01-02,UNDER,C,470,2024-03-02,0.6497844292486832,400.0,0.02,0.0,0.1643835616438356,0.22385260618296265
2024-01-02,UNDER,C,480,2024-03-02,0.4283353199636231,400.0,0.02,0.0,0.1643835616438356,0.23004776271027333
2024-01-02,UNDER,P,320,2024-05-01,0.5462136769257488,400.0,0.02,0.0,0.3287671232876712,0.21589359955790638
2024-01-02,UNDER,P,330,2024-05-01,0.9227336566851385,400.0,0.02,0.0,0.3287671232876712,0.21135768699768193
2024-01-02,UNDER,P,340,2024-05-01,1.5043738374213294,400.0,0.02,0.0,0.3287671232876712,0.20672022304423157
2024-01-02,UNDER,P,350,2024-05-01,2.385369773600246,400.0,0.02,0.0,0.3287671232876712,0.20230106105861068
2024-01-02,UNDER,P,360,2024-05-01,3.6997724235702334,400.0,0.02,0.0,0.3287671232876712,0.19855017876597497
2024-01-02,UNDER,P,370,2024-05-01,5.373693515320315,400.0,0.02,0.0,0.3287671232876712,0.19216249927454443
2024-01-02,UNDER,P,380,2024-05-01,8.047269298769159,400.0,0.02,0.0,0.3287671232876712,0.19103653050702812
2024-01-02,UNDER,P,390,2024-05-01,11.30284388090429,400.0,0.02,0.0,0.3287671232876712,0.1871017492955886
2024-01-02,UNDER,C,400,2024-05-01,17.758899102216475,400.0,0.02,0.0,0.3287671232876712,0.18007039564867314
2024-01-02,UNDER,C,410,2024-05-01,13.87865266284911,400.0,0.02,0.0,0.3287671232876712,0.1873434647082612
2024-01-02,UNDER,C,420,2024-05-01,10.56714171209994,400.0,0.02,0.0,0.3287671232876712,0.19144795148530602
2024-01-02,UNDER,C,430,2024-05-01,8.168222168917483,400.0,0.02,0.0,0.3287671232876712,0.19783876021996138
2024-01-02,UNDER,C,440,2024-05-01,6.450672636631159,400.0,0.02,0.0,0.3287671232876712,0.20589978389943764
2024-01-02,UNDER,C,450,2024-05-01,4.954365524230644,400.0,0.02,0.0,0.3287671232876712,0.21100194047177956
2024-01-02,UNDER,C,460,2024-05-01,3.888295643092943,400.0,0.02,0.0,0.3287671232876712,0.21744022802179308
2024-01-02,UNDER,C,470,2024-05-01,3.0467006116161435,400.0,0.02,0.0,0.3287671232876712,0.22326691615937652
2024-01-02,UNDER,C,480,2024-05-01,2.451103338612258,400.0,0.02,0.0,0.3287671232876712,0.23022836474782232
2024-01-02,UNDER,P,320,2024-06-30,1.1668608628440442,400.0,0.02,0.0,0.4931506849315068,0.20607183639746163
2024-01-02,UNDER,P,330,2024-06-30,1.7893488742548636,400.0,0.02,0.0,0.4931506849315068,0.20243058937638259
2024-01-02,UNDER,P,340,2024-06-30,2.695098182166286,400.0,0.02,0.0,0.4931506849315068,0.1993083124429882
2024-01-02,UNDER,P,350,2024-06-30,3.936751724387066,400.0,0.02,0.0,0.4931506849315068,0.19603799250274156
2024-01-02,UNDER,P,360,2024-06-30,5.630320512453949,400.0,0.02,0.0,0.4931506849315068,0.19315499091736227
2024-01-02,UNDER,P,370,2024-06-30,7.729405417492433,400.0,0.02,0.0,0.4931506849315068,0.18896240104237944
2024-01-02,UNDER,P,380,2024-06-30,10.66946955999288,400.0,0.02,0.0,0.4931506849315068,0.18755712869059665
